Vis,Frec,X,Y,Z,Formato
Alta,Alta,-70.3471513158443,-27.3497102660805,362.774043630931,1
Alta,Alta,-70.3474493428779,-27.3529981782514,361.808924943262,1
Alta,Media,-70.3456072203487,-27.3582068788668,367.734996449311,1
Alta,Alta,-70.3522393761823,-27.3521161696452,358.787095601401,1
Alta,Baja,-70.3517797295508,-27.3533820127285,359.86847255594,1
Alta,Alta,-70.3477854513222,-27.3559479749412,364.121357502934,1
Alta,Alta,-70.348142889886,-27.3604770202734,366.66847251924,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Alta,-70.3468988331741,-27.3576351497311,366.783646927777,0
Alta,Alta,-70.3520864889114,-27.3560768985454,362.574681606234,0
Baja,Baja,-70.3511114114731,-27.35650827435,363.069508070118,1
Alta,Alta,-70.3511004860292,-27.3525615978639,359.488053082129,0
Alta,Media,-70.346469068704,-27.3620335209219,368.540580643726,1
Baja,Baja,-70.341144069859,-27.3605333303951,374.019769350857,1
Media,Media,-70.3462118574637,-27.3499479838577,364.419951921021,1
Media,Media,-70.3463335701372,-27.3498399346417,364.111158101593,1
Alta,Media,-70.3504890435328,-27.3564527548977,363.485811897159,1
Baja,Baja,-70.3518532387141,-27.3532776124429,359.357561859476,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Baja,Alta,-70.3469632575667,-27.3537137696013,363.296144235836,1
Alta,Baja,-70.3415091603934,-27.3618877194512,372.536987613673,1
Alta,Alta,-70.3511025780894,-27.3504783186123,358.477986567188,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Alta,Baja,-70.3432165922664,-27.3632538866042,370.840942182615,1
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Baja,Baja,-70.3520561599928,-27.3463233322041,356.406273503071,1
Alta,Baja,-70.3484702737283,-27.34315594716,358.542453793697,1
Alta,Alta,-70.3498848434175,-27.3541689651069,361.137727019132,1
Media,Baja,-70.349147942505,-27.3532436100996,361.448574384614,1
Media,Baja,-70.3505768271422,-27.3563769536857,363.333649930327,1
Alta,Media,-70.3524435005065,-27.3552396722102,361.414218870202,1
Media,Media,-70.3480866337852,-27.3559267680292,363.875468157832,1
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Baja,Baja,-70.3498105367935,-27.3456597724551,363.24970976305,1
Alta,Media,-70.3432613785771,-27.3632013987196,370.743194556086,1
Alta,Media,-70.346469068704,-27.3620335209219,368.540580643726,1
Baja,Alta,-70.3446279072733,-27.3597694852744,368.940022298983,1
Alta,Alta,-70.351678841103,-27.3515324293603,358.471964921059,0
Alta,Baja,-70.3505442918055,-27.3487533899476,358.580507391415,1
Baja,Baja,-70.3485123974039,-27.3487203702238,362.444431967332,1
Alta,Alta,-70.3486622690506,-27.3570315732695,363.904107089383,0
Alta,Media,-70.3442265392375,-27.3619253735348,370.022772159891,1
Alta,Alta,-70.3468526198442,-27.3519144802926,362.393246529461,0
Alta,Alta,-70.3458624274472,-27.3607844510489,367.973229930893,1
Alta,Media,-70.3529737013606,-27.34710924793,355.512906773839,1
Baja,Alta,-70.343437838308,-27.3523708584377,385.764720308886,1
Alta,Alta,-70.3451535100543,-27.3526532135451,365.104399648589,1
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Baja,Baja,-70.3479386823649,-27.3510601512064,361.048064091224,1
Alta,Media,-70.3473518985531,-27.3519992735314,361.871778420928,1
Baja,Baja,-70.3515277991722,-27.3540927882649,361.359173971595,1
Media,Baja,-70.3430693768219,-27.360456029261,370.686426143238,1
Media,Media,-70.351748055086,-27.3538497956556,360.57784688483,1
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Media,-70.3460847170902,-27.3470201630803,374.613262623213,1
Media,Baja,-70.3473421628694,-27.3491674125943,364.003228925172,1
Alta,Media,-70.3459133652374,-27.3502339444864,365.092334384012,0
Alta,Baja,-70.3488311056166,-27.346643253278,365.350804764594,1
Media,Alta,-70.3510422912546,-27.3503951238571,358.745550334555,1
Alta,Baja,-70.3518287379011,-27.3565699941158,362.97035408503,0
Baja,Media,-70.3424072168552,-27.3631130491738,371.620871185099,1
Alta,Baja,-70.3425651291451,-27.3610763945154,371.459092312552,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Alta,-70.3503358718881,-27.3587158439558,364.814037653783,0
Alta,Baja,-70.3499107843467,-27.3455445214451,362.655494754056,1
Alta,Alta,-70.3450913840753,-27.351722845822,364.179729520182,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.346960800058,-27.3599770839293,367.028962881931,1
Baja,Baja,-70.3515914221731,-27.3540264498128,361.352223225423,1
Baja,Media,-70.3494868892858,-27.348563900667,361.009696918299,1
Media,Baja,-70.349487534477,-27.3501315995977,360.305476130889,1
Alta,Media,-70.3464410040609,-27.3497728551411,363.854885217442,1
Alta,Alta,-70.3486622690506,-27.3570315732695,363.904107089383,0
Media,Baja,-70.3514239381019,-27.3554512411667,362.193031123777,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Alta,Baja,-70.3432425524112,-27.3605450070551,370.404850406559,1
Alta,Baja,-70.3507729769065,-27.3459469619127,359.04447345327,1
Baja,Baja,-70.3411580978854,-27.3617802526674,372.605550685836,1
Media,Baja,-70.3511616307354,-27.355535056959,362.448841127899,1
Baja,Baja,-70.3499558544247,-27.356063807557,363.112365407793,1
Alta,Media,-70.3501125992119,-27.3543209300668,361.78645628646,1
Alta,Alta,-70.3498848434175,-27.3541689651069,361.137727019132,1
Media,Baja,-70.3505184240779,-27.3474446866216,359.617477198714,0
Media,Media,-70.3516890021403,-27.344594578252,356.395538991168,1
Alta,Alta,-70.3522393761823,-27.3521161696452,358.787095601401,1
Alta,Alta,-70.3451535100543,-27.3526532135451,365.104399648589,1
Media,Baja,-70.3456433876114,-27.3611006302234,368.360810395921,1
Alta,Baja,-70.3521653401047,-27.3567575776802,362.220632068383,0
Alta,Alta,-70.3471547555016,-27.359850914241,366.576369045574,1
Alta,Alta,-70.3503358718881,-27.3587158439558,364.814037653783,0
Media,Media,-70.3462118574637,-27.3499479838577,364.419951921021,1
Baja,Baja,-70.3530711605546,-27.3469124323342,354.952503407779,0
Alta,Alta,-70.3470050179903,-27.3595906212699,366.618587854816,1
Alta,Alta,-70.343879768152,-27.3638542158216,371.301556358164,0
Media,Alta,-70.3485702999657,-27.3588780717822,365.277613902198,1
Alta,Alta,-70.3446989368831,-27.3607495513643,370.189071739446,0
Alta,Alta,-70.3476179470257,-27.3510858298721,361.366552749348,1
Media,Baja,-70.3498329676201,-27.3501882114065,359.956772731826,1
Baja,Baja,-70.3485123974039,-27.3487203702238,362.444431967332,1
Baja,Baja,-70.3402819381904,-27.3608542386131,373.413356192288,1
Media,Baja,-70.3463316481606,-27.345486248994,376.173204487125,1
Alta,Baja,-70.3523897360935,-27.352945471754,359.327497603175,1
Alta,Baja,-70.345895913904,-27.3461121789799,377.113886005036,0
Alta,Baja,-70.3429773637647,-27.3594555594085,374.495796820958,1
Baja,Baja,-70.3457175150872,-27.3610738565575,368.328682140728,1
Alta,Alta,-70.3445870310411,-27.359725496589,369.007242724108,1
Alta,Media,-70.3461037458832,-27.3500529166194,364.090979054638,1
Baja,Baja,-70.3413510590088,-27.361850768497,372.268772441744,1
Alta,Alta,-70.3515070966818,-27.3516596592295,358.735783883527,1
Alta,Media,-70.3492654729121,-27.3462895776305,364.826803769128,0
