Marca temporal,Graffiti,Cercanía a puntos de interés ,Nivel de accesibilidad ,Visibilidad ,Tipo de espacio ,Frecuencia de visitas al área ,Técnica utilizada ,Formato,Complejidad visual ,Tamaño del arte ,Colores dominantes ,Tonalidad predominante ,Saturación,Contraste entre colores ,Monocromático o policromático ,Temas representados ,Enfoque,Narrativa,Uso de metáforas visuales ,Elementos simbólicos específicos ,Influencias culturales ,Iconografía religiosa o espiritual ,Simbolismo político o social ,Duración esperada ,Condiciones de conservación ,Factores de deterioro visibles ,Frecuencia de mantenimiento o restauración 
10/1/2025 4:54:16,001,Plaza,Público,Media,Muro público,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,verde,Fríos,Media,Baja,Monocromático,una figura que parece representar un pez o una forma abstracta,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 4:58:49,002,Plaza,Público,Baja,Muro público,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,negro,Neutros,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,Ninguno claramente visible,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:02:44,003,Calle,Público,Media,Muro público,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Explícita,No,"El mensaje está claro: ""SMILE"" (Sonríe).",Ninguna identificable,No,No,Temporal,Regular,ninguno,Ninguna
10/1/2025 5:05:55,004,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,rojo,Cálidos,Alta,Alta,Monocromático,Letras,Individual,Abstracta,No,No se identifican elementos simbólicos claros.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:09:50,005,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,negro,Neutros,Media,Media,Monocromático,Deporte,Individual,Explícita,No," Sí, el nombre ""Peñarol"" puede simbolizar apoyo al equipo de fútbol o identificación con él.",Occidental,No,No,Temporal,Regular,Ninguno,Ninguna
10/1/2025 5:12:08,006,Calle,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,rosa,Cálidos,Alta,Media,Monocromático,Firma de artista,Individual,Explícita,No,Ninguno claramente visible.,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:15:26,007,Parque,Público,Alta,Muro público,Baja,"Arte urbano, graffiti",Grafiti,Simple,Mediano,negro,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras, Rostro sonriente",Individual,Abstracta,No,"La figura sonriente (""smiley"") podría considerarse un elemento simbólico general de positividad o irreverencia.",Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:18:40,008,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",Grafiti,Detallado,Mediano,negro,Neutros,Media,Alta,Monocromático,Letras,Individual,Abstracta,Sí,"Sí, el gato negro y el nombre CATS",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:21:58,009,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",Grafiti,Simple,Mediano,negro y blanco,Neutros,Baja,Media,Monocromático,"Firma de artista, Letras",Individual,Abstracta,No,"Ninguno claramente visible, aunque algunos diseños tienen formas decorativas.",Ninguna identificable,No,No,Temporal,Deteriorada,Exposición al clima,Ninguna
10/1/2025 5:24:03,010,Estación de transporte,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Blanco,Neutros,Baja,Media,Monocromático,"Es un mensaje romántico, probablemente personal (""Te amo"")",Individual,Explícita,No,"Las iniciales ""D&E"" y la fecha (""19-01-16"") pueden ser simbólicos para los involucrados, representando nombres y un momento significativo.",Ninguna identificable,No,No,Temporal,Regular,Ninguno,Ninguna
10/1/2025 5:26:39,011,Calle,Público,Alta,Muro privado,Alta,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Morado y blanco,Neutros,Media,Media,Policromático,Arte Abstracto,Individual,Abstracta,No,"Ninguno claramente identificable, aunque el diseño superior podría interpretarse como un símbolo decorativo o personal.",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:28:56,012,Calle,Público,Baja,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Política,Individual,Explícita,No,No. Solo se observa texto.,Occidental,No,Sí,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:31:09,013,Bomberos,Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Azul claro o celeste,Fríos,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:33:53,014,Calle,Público,Media,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,negro ,Neutros,Baja,Baja,Monocromático,"Resistencia social, Política",Individual,Explícita,No,No se identifican elementos específicos debido al desgaste.,Occidental,No,Sí,Temporal,Deteriorada,Exposición al clima,Ninguna
10/1/2025 5:35:33,015,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Explícita,No,Ninguno identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:39:25,017,"Escuela, Plaza",Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Azul,Fríos,Media,Media,Monocromático,Letras,Individual,Abstracta,No,"Sí, un sombrero sobre las letras, que podría ser un elemento decorativo o simbólico para el autor.",Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:42:41,018,"Escuela, Parque",Público,Alta,Muro privado,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Blanco,Neutros,Baja,Media,Monocromático,"Letras, Musical",Individual,Explícita,No,Taylor Swift,"Influencias populares (""Taylor Swift"" podría estar vinculado a la cultura musical global).",No,No,Temporal,Regular,Ninguno,Ninguna
10/1/2025 5:44:43,019,"Escuela, Parque",Público,Baja,Banca publica,Media,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 5:47:44,020,Plaza,Público,Baja,Banca,Baja,Intervención artística con pintura manual. Se utilizó la técnica de estampado de manos pintadas.,Instalación,Simple,Pequeño,"Rojo, blanco y azul ",Cálidos,Media,Media,Policromático,Comunidad,Comunitario,Explícita,Sí,Las huellas de manos son un elemento simbólico universal que representa la participación de las personas.,Ninguna identificable,Sí,Sí,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:52:49,021,Escuela,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro y azul ,Neutros,Media,Media,Policromático,Letras,Individual,Explícita,No,Romantico. El corazón es un elemento simbólico universal relacionado con el amor o los sentimientos.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 5:56:13,022,Escuela,Público,Alta,Muro privado,Media,"Pintura mural. Realizado a mano con pinceles, utilizando colores brillantes y un estilo detallado.",Mural,Detallado,Grande,Multicolor,Cálidos,Alta,Alta,Policromático,"Naturaleza, Educación, Infancia",Comunitario,Explícita,No,"Las letras y números simbolizan aprendizaje, mientras que los niños dibujados simbolizan alegría y juego.",cultura educativa local y la promoción del desarrollo infantil.,No,No,Permanente,Buena,Ninguno,Frecuente
10/1/2025 5:58:23,023,Parque,Público,Baja,Banca,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable.,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 6:00:52,024,Parque,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Firma de artista,Individual,Abstracta,No,No se identifica un simbolismo claro,Ninguna identificable,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 6:03:56,025,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,Firma de artista,Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 6:07:24,026,Parque,Público,Media,Muro privado,Baja,Pintura mural con spray. Detalles y sombreados sugieren el uso de técnicas más elaboradas.,Mural,Intrincado,Grande,Multicolor,Cálidos,Alta,Alta,Policromático,"Surrealismo, naturaleza antropomorfizada.",Individual,Abstracta,Sí,Las figuras humanoides y las estrellas alrededor.,influencias de arte psicodélico o surrealismo.,No,No,Temporal,Buena,Exposición al clima,Ninguna
10/1/2025 6:09:19,027,Parque,Público,Media,Muro público,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Rojo ,Cálidos,Baja,Baja,Monocromático,Letras,Individual,Explícita,No,Ninguno claramente identificable.,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 6:16:26,028,Calle,Público,Alta,Muro público,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Alta,Alta,Monocromático,Cultura pop,Individual,Explícita,Sí,"La corona y el texto ""El Barto"". Ambas referencias están directamente asociadas a Bart Simpson.",Occidental,No,No,Temporal,Buena,Ninguno,Ninguna
10/1/2025 6:20:44,029,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Negro,Neutros,Alta,Alta,Monocromático,"Política, Firma de artista",Individual,Explícita,Sí,"Símbolo de anarquismo, Corona, tags",Anarquismo ,No,Sí,Temporal,Regular,Exposición al clima,Ninguna
10/1/2025 6:23:21,030,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,"Firma de artista, Arte Abstracto",Individual,Abstracta,No,Ninguno claramente identificable,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 17:21:17,31,Calle,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Baja,Media,Monocromático,"Letras, Arte Abstracto",Individual,Abstracta,No,"Algunos trazos pueden parecer una estrella mal formada o elementos decorativos, pero no son fácilmente identificables.",Ninguna identificable,No,No,Temporal,Deteriorada,Desgaste del muro,Ninguna
15/1/2025 17:25:02,032,Calle,Público,Baja,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Pequeño,Negro,Neutros,Media,Media,Monocromático,Letras,Individual,Abstracta,No,Ninguna evidente directamente,Ninguna identificable,No,No,Temporal,Regular,Exposición al clima,Ninguna
15/1/2025 17:27:32,033,Plaza,Público,Alta,Muro privado,Baja,"Arte urbano, graffiti",Grafiti,Simple,Mediano,Rojo,Cálidos,Media,Media,Monocromático,Letras,Individual,Explícita,No,Ninguno evidente,Ninguna identificable,No,No,Temporal,Regular,Desgaste del muro,Ninguna
